TASK_VEHICLE_ID,TASK_VEHICLETYPE_ID,VEHICLE_ID,TASK_ID,VIN,VIN_PATAC_ID,RMU_CODE,STATE,EXTRA1,EXTRA2,EXTRA3,IS_DEL,UPDATE_TIME
2620,1011,318801024,748,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2529,988,318801011,711,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2530,988,318801023,711,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2531,988,318801024,711,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2532,988,318801053,711,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2553,994,318801023,713,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2554,994,318801024,713,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2555,994,318801053,713,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2556,994,318801011,713,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2617,1011,318801053,748,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2063,864,318801023,718,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2064,864,318801024,718,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2065,864,318801053,718,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2106,875,318801053,724,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2062,864,318801011,718,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2107,875,318801011,724,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2108,875,318801023,724,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2109,875,318801024,724,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2246,910,318801053,715,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2247,910,318801011,715,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2248,910,318801023,715,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2249,910,318801024,715,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
