TASK_RULE_ID,TASK_ID,RULE_NAME,RULE_DESCRIPTION,RULE_MODE,START_EXPRESSION,START_EXPRESSION_CONVERT,START_EXPRESSION_ID,START_EXPRESSION_PARAM,END_EXPRESSION,END_EXPRESSION_CONVERT,END_EXPRESSION_ID,END_EXPRESSION_PARAM,JUDGE_EXPRESSION,JUDGE_EXPRESSION_CONVERT,JUDGE_EXPRESSION_ID,JUDGE_EXPRESSION_PARAM,RULE_TYPE,RULE_END_TIME,RBF_BEFORE_TIME,RBF_AFTER_TIME,RULE_SIGNALS,OTHER_SIGNALS
2666,718,电芯分布统计2_Soc->30-80,小电流时电芯电压分布Soc->30-80,1,"HVBSOC_BatSOC>=30&&HVBSOC_BatSOC<=80&&Debounce(HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)","HVBSOC_BatSOC>=30&&HVBSOC_BatSOC<=80&&Debounce(47,HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)",,,,,,,"range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))","range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))",,,0,,,,"163962,163960,167798,166904,162181,159857,163577,160111",
3360,723,DU温度,DU温度,1,PrplsnSysAtv == 1,PrplsnSysAtv == 1,,,,,,,range_max_min(TrnOilTmp),range_max_min(TrnOilTmp),,,0,,,,"160281,168326",
3361,723,Crankshaft轴状态,Crankshaft轴状态,1,PrplsnSysAtv==1,PrplsnSysAtv==1,,,,,,,range_max_min(PrplSysMtrASpdAuth/2.702 - EngSpd ),range_max_min(PrplSysMtrASpdAuth/2.702 - EngSpd ),,,0,,,,"160130,160281,166625",
3362,723,后轴的状态,后轴的状态,1,PrplsnSysAtv == 1,PrplsnSysAtv == 1,,,,,,,range_max_min(PrplSysMtrCSpdAuth/86.37 - VehSpdAvgNDrvn),range_max_min(PrplSysMtrCSpdAuth/86.37 - VehSpdAvgNDrvn),,,0,,,,"160281,160360,163816",
3363,723,油泵性能水平,油泵性能水平,1,PrplsnSysAtv == 1 && TdmPupCmdSpd > 0,PrplsnSysAtv == 1 && TdmPupCmdSpd > 0,,,,,,, range_max_min(TdmPupCmdSpd - TdmPupActSpd), range_max_min(TdmPupCmdSpd - TdmPupActSpd),,,0,,,,"160281,170136,170139",
2709,727,InvA_Flt,行驶过程中InverterA报故障,1,(PrplsnSysAtv == 1)&&(VehSpdAvgDrvn_1 > 1),(PrplsnSysAtv == 1)&&(VehSpdAvgDrvn_1 > 1),,,,,,,(DrvMtrInvrtUntAFltSts != 0)||(MtrInvrtUntASecFltSts != 0),(DrvMtrInvrtUntAFltSts != 0)||(MtrInvrtUntASecFltSts != 0),,,1,,60.000,60.000,"160281,160366,164796,163497",
2710,727,InvB_Flt,行驶过程中InverterB报故障,1,(PrplsnSysAtv == 1)&&(VehSpdAvgDrvn_1 > 1),(PrplsnSysAtv == 1)&&(VehSpdAvgDrvn_1 > 1),,,,,,,(DrvMtrInvrtUntBSecFltSts != 0)||(DrvMtrInvrtUntBPriFltSts != 0),(DrvMtrInvrtUntBSecFltSts != 0)||(DrvMtrInvrtUntBPriFltSts != 0),,,1,,60.000,60.000,"160281,160366,164671,163775",
2689,722,EVSE fault导致充电中止,EVSE fault导致充电中止,1,,,,,,,,,EdgeRising(HiVltgChrgAbrtRsn == 6),"EdgeRising(11,HiVltgChrgAbrtRsn == 6)",,,1,,60.000,60.000,163861,"159857,160214,162181,163577,163960,163962"
2690,722,充电桩不支持预约充电中止,充电桩不支持预约充电中止,1,,,,,,,,,EdgeRising(HiVltgChrgAbrtRsn == 7),"EdgeRising(11,HiVltgChrgAbrtRsn == 7)",,,1,,60.000,60.000,163861,"159857,160214,162181,163577,163962,163960"
2691,722,S2不工作导致预约充电中止,S2不工作导致预约充电中止,1,,,,,,,,,"EdgeRising((HiVltgChrgAbrtRsn == 3) && enum(HVBCC_TmDispPwrLvl , '1|2'))","EdgeRising(11,(HiVltgChrgAbrtRsn == 3) && enum(HVBCC_TmDispPwrLvl , '1|2'))",,,1,,60.000,60.000,"163861,163855","159857,160214,162181,163577,163962,163960"
2692,722,充电系统故障（defaultaction或者电池包故障）或者DC充电CC1或者CC2故障导致的充电中止,充电系统故障（defaultaction或者电池包故障）或者DC充电CC1或者CC2故障导致的充电中止,1,,,,,,,,,EdgeRising(HiVltgChrgAbrtRsn == 4),"EdgeRising(11,HiVltgChrgAbrtRsn == 4)",,,1,,60.000,60.000,163861,
2693,722,CC电压半连接导致的充电禁止,CC电压半连接导致的充电禁止,1,,,,,,,,,EdgeRising((HiVltgChrgAbrtRsn == 0) && (HiVltgChrgInhbRsn == 1)),"EdgeRising(11,(HiVltgChrgAbrtRsn == 0) && (HiVltgChrgInhbRsn == 1))",,,1,,60.000,60.000,"163860,163861",
2694,722,CP信号导致的充电禁止,CP信号导致的充电禁止,1,,,,,,,,,EdgeRising((HiVltgChrgAbrtRsn == 0) && (HiVltgChrgInhbRsn == 3)),"EdgeRising(11,(HiVltgChrgAbrtRsn == 0) && (HiVltgChrgInhbRsn == 3))",,,1,,60.000,60.000,"163860,163861","159857,160214,162181,163577,163960,163962"
2695,722,SOC限值导致的充电提前跳枪,SOC限值导致的充电提前跳枪,1,,,,,,,,,EdgeRising((HiVltgChrgrSysSts == 4) && (HVBSOC_BatSOC < 75)),"EdgeRising(11,(HiVltgChrgrSysSts == 4) && (HVBSOC_BatSOC < 75))",,,1,,60.000,60.000,"159857,163864","159857,160214,162181,163577,163960,163962"
2711,727,ENG_Flt,行驶过程中发动机报故障,1,(PrplsnSysAtv == 1)&&(VehSpdAvgDrvn_1 > 1),(PrplsnSysAtv == 1)&&(VehSpdAvgDrvn_1 > 1),,,,,,,(EngSysPriFltSts != 0)||(EngSysSecFltSts != 0),(EngSysPriFltSts != 0)||(EngSysSecFltSts != 0),,,1,,60.000,60.000,"160281,160366,168377,167180",
2712,727,HVB_Flt,行驶过程中电池包报故障,1,(PrplsnSysAtv == 1)&&(VehSpdAvgDrvn_1 > 1),(PrplsnSysAtv == 1)&&(VehSpdAvgDrvn_1 > 1),,,,,,,(ESSPrplSysStsPriAuth != 1)||(ESSPrplSysStsSecAuth != 1),(ESSPrplSysStsPriAuth != 1)||(ESSPrplSysStsSecAuth != 1),,,0,,,,"160281,160366,160957,164168",
